StateDesc,Measure,Avg_Data_Value,Min_Confidence_Limit,Max_Confidence_Limit,Population
Alabama,All teeth lost among adults aged >=65 years,19.263432835820897,8.3,41.1,75735.76119402985
Alabama,Any disability among adults,37.47761194029851,23.5,52.8,75735.76119402985
Alabama,Arthritis among adults,33.36119402985074,22.4,44.2,75735.76119402985
Alabama,Binge drinking among adults,14.379850746268657,7.1,21.9,75735.76119402985
Alabama,Cancer (non-skin) or melanoma among adults,7.66044776119403,4.6,11.8,75735.76119402985
Alabama,Cholesterol screening among adults,84.78134328358209,77.7,90.5,75735.76119402985
Alabama,Chronic obstructive pulmonary disease among adults,9.447761194029852,4.5,14.7,75735.76119402985
Alabama,Cognitive disability among adults,17.85820895522388,11.2,25.3,75735.76119402985
Alabama,Colorectal cancer screening among adults aged 45–75 years,62.39179104477612,47.9,75.7,75735.76119402985
Alabama,Coronary heart disease among adults,8.269402985074626,4.6,12.7,75735.76119402985
Alabama,Current asthma among adults,10.917910447761194,8.3,14.4,75735.76119402985
Alabama,Current cigarette smoking among adults,18.762686567164177,9.2,28.1,75735.76119402985
Alabama,Current lack of health insurance among adults aged 18-64 years,11.114925373134328,5.6,23.8,75735.76119402985
Alabama,Depression among adults,24.98955223880597,17.7,34.1,75735.76119402985
Alabama,Diagnosed diabetes among adults,15.019402985074626,8.2,27.7,75735.76119402985
Alabama,Fair or poor self-rated health status among adults,24.6955223880597,12.9,39.6,75735.76119402985
Alabama,Feeling socially isolated among adults,34.44477611940299,25.5,44.4,75735.76119402985
Alabama,Food insecurity in the past 12 months among adults,20.62537313432836,9.2,41.4,75735.76119402985
Alabama,Frequent mental distress among adults,19.952238805970147,13.9,26.0,75735.76119402985
Alabama,Frequent physical distress among adults,15.706716417910446,9.2,23.0,75735.76119402985
Alabama,Hearing disability among adults,8.052238805970148,4.8,12.1,75735.76119402985
Alabama,High blood pressure among adults,41.77014925373134,29.0,62.2,75735.76119402985
Alabama,High cholesterol among adults who have ever been screened,35.558955223880595,26.1,46.8,75735.76119402985
Alabama,Housing insecurity in the past 12 months among adults,17.078358208955223,8.6,34.3,75735.76119402985
Alabama,Independent living disability among adults,10.779104477611941,5.9,17.5,75735.76119402985
Alabama,Lack of reliable transportation in the past 12 months among adults,11.590298507462686,5.9,22.6,75735.76119402985
Alabama,Lack of social and emotional support among adults,27.01044776119403,18.5,39.1,75735.76119402985
Alabama,Mammography use among women aged 50-74 years,75.52313432835821,60.4,88.5,75735.76119402985
Alabama,Mobility disability among adults,18.523134328358207,8.9,32.9,75735.76119402985
Alabama,No leisure-time physical activity among adults,31.458955223880597,17.7,48.3,75735.76119402985
Alabama,Obesity among adults,41.22014925373134,26.5,59.4,75735.76119402985
Alabama,Received food stamps in the past 12 months among adults,18.335074626865673,6.0,43.6,75735.76119402985
Alabama,Self-care disability among adults,5.322388059701493,2.3,10.9,75735.76119402985
Alabama,Short sleep duration among adults,41.16343283582089,27.4,58.5,75735.76119402985
Alabama,Stroke among adults,4.55820895522388,2.3,8.8,75735.76119402985
Alabama,Taking medicine to control high blood pressure among adults with high blood pressure,74.11940298507463,57.2,88.3,75735.76119402985
Alabama,Utility services shut-off threat in the past 12 months among adults,11.76268656716418,5.5,26.1,75735.76119402985
Alabama,Vision disability among adults,7.022388059701493,3.4,13.5,75735.76119402985
Alabama,Visited dentist or dental clinic in the past year among adults,52.87611940298507,35.2,71.6,75735.76119402985
Alabama,Visits to doctor for routine checkup within the past year among adults,79.07164179104478,69.8,87.5,75735.76119402985
Alaska,All teeth lost among adults aged >=65 years,17.373333333333335,6.9,50.2,24452.766666666666
Alaska,Any disability among adults,33.138333333333335,22.0,57.2,24452.766666666666
Alaska,Arthritis among adults,24.4,14.7,34.9,24452.766666666666
Alaska,Binge drinking among adults,19.513333333333332,13.0,26.5,24452.766666666666
Alaska,Cancer (non-skin) or melanoma among adults,6.878333333333333,3.6,11.8,24452.766666666666
